seq,t0_ns,t1_ns,span_ns,tick,phase,state,start_authorize,request_internal,request_actual,motion_enable,motion_motion_enabled,machine_is_on,estop_activated,cycle_permission,event
1,263751305115,263763388840,12083725,0,0,1,0,0,0,1,0,0,0,0,PHASE_P0_BASELINE_BEFORE_MUTATION
2,263763396534,263775632182,12235648,1,0,1,0,0,0,1,0,0,0,0,P0-baseline-pre-eval
3,263815704796,263827627571,11922775,2,0,1,0,0,0,1,0,0,0,0,P0-baseline-pre-eval
4,263867702596,263879673018,11970422,3,0,1,0,0,0,1,0,0,0,0,P0-baseline-pre-eval
5,263919746313,263931690526,11944213,4,0,1,0,0,0,1,0,0,0,0,P0-baseline-pre-eval
6,263971764783,263983675643,11910860,4,1,1,0,0,0,1,0,0,0,0,PHASE_P1_BLOCK_PREREQUISITE_BEFORE_MUTATION
7,263986103651,263998039119,11935468,4,1,1,0,0,0,0,0,0,0,0,P1-motion-enable-low
8,263998043187,264010325535,12282348,5,1,1,0,0,0,0,0,0,0,0,P1-hold-pre-eval
9,264050395812,264062522010,12126198,6,1,1,0,0,0,0,0,0,0,0,P1-hold-pre-eval
10,264102596648,264114780197,12183549,7,1,1,0,0,0,0,0,0,0,0,P1-hold-pre-eval
11,264154849579,264166912194,12062615,8,1,1,0,0,0,0,0,0,0,0,P1-hold-pre-eval
12,264206989724,264218994821,12005097,8,2,1,0,0,0,0,0,0,0,0,PHASE_P2_BLOCKED_ON_REQUEST_BEFORE_MUTATION
13,264219017914,264231088725,12070811,8,2,1,1,0,0,0,0,0,0,0,P2-start-auth-high-before-eval
14,264231091640,264243144196,12052556,9,2,1,1,0,0,0,0,0,0,0,P2-start-pre-eval
15,264243149025,264255279010,12129985,9,2,2,1,0,0,0,0,0,0,0,request-state-before-high
16,264257724882,264269845135,12120253,9,2,2,1,1,1,0,0,0,0,0,request-high
17,264389919207,264401973667,12054460,9,2,2,1,1,1,0,0,0,0,0,request-high-hold
18,264404393219,264417658086,13264867,9,2,2,1,0,0,0,0,0,0,0,request-low
19,264417662324,264429724508,12062184,9,2,3,1,0,0,0,0,0,0,0,wait-on-after-request
20,264429727344,264441784919,12057575,9,2,3,0,0,0,0,0,0,0,0,P2-start-auth-low
21,264441788005,264453555090,11767085,10,2,3,0,0,0,0,0,0,0,0,P2-start-after-auth-low-pre-eval
22,264453560060,264465513960,11953900,11,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
23,264505590495,264517573601,11983106,12,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
24,264557644241,264569687791,12043550,13,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
25,264609732459,264621655552,11923093,14,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
26,264661735099,264673768880,12033781,15,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
27,264713847545,264725969582,12122037,16,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
28,264766039852,264777898984,11859132,17,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
29,264817972543,264829866360,11893817,18,2,3,0,0,0,0,0,0,0,0,P2-after-request-pre-eval
30,264869942281,264881750217,11807936,18,3,3,0,0,0,0,0,0,0,0,PHASE_P3_HOLD_BLOCKED_BEFORE_MUTATION
31,264881754064,264893797293,12043229,19,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
32,264933873844,264945916110,12042266,20,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
33,264985996095,264997838446,11842351,21,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
34,265037913027,265049958901,12045874,22,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
35,265090032192,265102037650,12005458,23,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
36,265142110835,265155142763,13031928,24,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
37,265195218053,265207210877,11992824,25,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
38,265247283665,265259474591,12190926,26,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
39,265299550017,265311621763,12071746,27,3,3,0,0,0,0,0,0,0,0,P3-hold-pre-eval
40,265351697363,265363651844,11954481,27,4,3,0,0,0,0,0,0,0,0,PHASE_P4_RESTORE_NO_RETRY_BEFORE_MUTATION
41,265365997718,265377990752,11993034,27,4,3,0,0,0,1,0,0,0,0,P4-motion-enable-high
42,265377994619,265390853649,12859030,28,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
43,265430924854,265443027314,12102460,29,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
44,265483127487,265495042844,11915357,30,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
45,265535126293,265546983708,11857415,31,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
46,265587058446,265599042002,11983556,32,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
47,265639116289,265651326396,12210107,33,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
48,265691400760,265703671907,12271147,34,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
49,265743743098,265755837233,12094135,35,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
50,265795906624,265807955804,12049180,36,4,3,0,0,0,1,0,0,0,0,P4-no-retry-pre-eval
51,265848019341,265860019098,11999757,36,5,3,0,0,0,1,0,0,0,0,PHASE_P5_EXPLICIT_RETRY_BEFORE_MUTATION
52,265860023066,265872097222,12074156,36,5,3,1,0,0,1,0,0,0,0,P5-retry-auth-high-before-eval
53,265872104276,265884188191,12083915,37,5,3,1,0,0,1,0,0,0,0,P5-retry-pre-eval
54,265884193020,265896163041,11970021,37,5,2,1,0,0,1,0,0,0,0,request-state-before-high
55,265898532759,265910642643,12109884,37,5,2,1,1,1,1,0,0,0,0,request-high
56,266030713709,266042777436,12063727,37,5,2,1,1,1,1,1,1,0,0,request-high-hold
57,266045273423,266057152071,11878648,37,5,2,1,0,0,1,1,1,0,0,request-low
58,266057155358,266069046059,11890701,37,5,3,1,0,0,1,1,1,0,0,wait-on-after-request
59,266069049416,266080870963,11821547,37,5,3,0,0,0,1,1,1,0,0,P5-retry-auth-low
60,266080874300,266092739133,11864833,38,5,3,0,0,0,1,1,1,0,0,P5-retry-after-auth-low-pre-eval
61,266092743080,266104711818,11968738,38,5,4,0,0,0,1,1,1,0,1,P5-retry-after-auth-low-entered-on-confirmed
62,266104716978,266116597170,11880192,39,5,4,0,0,0,1,1,1,0,1,P5-wait-on-pre-eval
63,266116607139,266128582850,11975711,40,5,4,0,0,0,1,1,1,0,1,P5-confirmed-pre-eval
64,266168656376,266180345622,11689246,41,5,4,0,0,0,1,1,1,0,1,P5-confirmed-pre-eval
65,266220417185,266232127066,11709881,42,5,4,0,0,0,1,1,1,0,1,P5-confirmed-pre-eval
66,266272206413,266284118144,11911731,43,5,4,0,0,0,1,1,1,0,1,P5-confirmed-pre-eval
67,266324192932,266336264013,12071081,43,6,4,0,0,0,1,1,1,0,1,PHASE_P6_ACTIVE_FAULT_BEFORE_MUTATION
68,266338679457,266350635141,11955684,43,6,4,0,0,0,0,0,1,0,1,P6-motion-enable-low
69,266350642806,266362618567,11975761,44,6,4,0,0,0,0,0,1,0,1,P6-wait-loss-pre-eval
70,266402697343,266414886235,12188892,45,6,4,0,0,0,0,0,0,0,1,P6-wait-loss-pre-eval
71,266414892427,266426718748,11826321,45,6,5,0,0,0,0,0,0,0,0,P6-wait-loss-revoked-on-status-loss
72,266426724328,266438646469,11922141,46,6,5,0,0,0,0,0,0,0,0,P6-recovery-required-pre-eval
73,266478725021,266490438539,11713518,47,6,5,0,0,0,0,0,0,0,0,P6-recovery-required-pre-eval
74,266530507997,266542545635,12037638,48,6,5,0,0,0,0,0,0,0,0,P6-recovery-required-pre-eval
75,266582617207,266594377954,11760747,48,7,5,0,0,0,0,0,0,0,0,PHASE_P7_RESTORE_NO_AUTH_BEFORE_MUTATION
76,266596711855,266609391401,12679546,48,7,5,0,0,0,1,0,0,0,0,P7-motion-enable-high
77,266609395950,266622279900,12883950,49,7,5,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
78,266622285501,266634239141,11953640,49,7,6,0,0,0,1,0,0,0,0,P7-no-auth-recovery-wait-start
79,266674309013,266686049122,11740109,50,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
80,266726120884,266738135649,12014765,51,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
81,266778206506,266789954153,11747647,52,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
82,266830029401,266841931284,11901883,53,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
83,266882017905,266893824805,11806900,54,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
84,266933897653,266945743240,11845587,55,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
85,266985833427,266997648376,11814949,56,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
86,267037721096,267049525780,11804684,57,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
87,267089595538,267101301048,11705510,58,7,6,0,0,0,1,0,0,0,0,P7-no-auth-pre-eval
88,267141375065,267153324771,11949706,58,8,6,0,0,0,1,0,0,0,0,PHASE_P8_GUARDED_RECOVERY_BEFORE_MUTATION
89,267153329791,267165176876,11847085,58,8,6,1,0,0,1,0,0,0,0,P8-recovery-auth-high-before-eval
90,267165179532,267177003121,11823589,59,8,6,1,0,0,1,0,0,0,0,P8-recovery-pre-eval
91,267177029841,267188696831,11666990,59,8,2,1,0,0,1,0,0,0,0,request-state-before-high
92,267191093290,267202893522,11800232,59,8,2,1,1,1,1,0,0,0,0,request-high
93,267322967866,267334786772,11818906,59,8,2,1,1,1,1,1,1,0,0,request-high-hold
94,267337214750,267349210372,11995622,59,8,2,1,0,0,1,1,1,0,0,request-low
95,267349213007,267361301490,12088483,59,8,3,1,0,0,1,1,1,0,0,wait-on-after-request
96,267361304335,267373381416,12077081,59,8,3,0,0,0,1,1,1,0,0,P8-recovery-auth-low
97,267373384532,267385401447,12016915,60,8,3,0,0,0,1,1,1,0,0,P8-recovery-after-auth-low-pre-eval
98,267385406326,267397406543,12000217,60,8,4,0,0,0,1,1,1,0,1,P8-recovery-after-auth-low-entered-on-confirmed
99,267397411843,267409443673,12031830,61,8,4,0,0,0,1,1,1,0,1,P8-wait-on-pre-eval
100,267409450135,267421365138,11915003,62,8,4,0,0,0,1,1,1,0,1,P8-confirmed-pre-eval
101,267461444787,267473490249,12045462,63,8,4,0,0,0,1,1,1,0,1,P8-confirmed-pre-eval
102,267513558502,267525493707,11935205,64,8,4,0,0,0,1,1,1,0,1,P8-confirmed-pre-eval
103,267565599671,267577545302,11945631,65,8,4,0,0,0,1,1,1,0,1,P8-confirmed-pre-eval
