seq,phase,prev_state,state,run_request,transport_ok,watchdog_clear,feedback_valid,feedback_independent_or_revalidated,reference_valid,required_interlocks_ok,following_error,recorder_valid,reconcile_request,reconcile_complete,explicit_rearm,motion_authorized,stale_command_present,current_faults,latched_history,evidence_valid,rearm_latched,reconcile_required,revoked_this_invocation
1,P0,READY,READY,0,1,1,1,1,1,1,0,1,0,0,1,0,0,NONE,NONE,1,1,0,0
2,P0,READY,RUNNING,1,1,1,1,1,1,1,0,1,0,0,0,1,1,NONE,NONE,1,1,0,0
3,P1,RUNNING,FAULTED,0,0,1,1,1,1,1,0,1,0,0,0,0,0,TRANSPORT_INVALID,TRANSPORT_INVALID,1,0,1,1
4,P1,FAULTED,FAULTED,0,0,1,1,1,1,1,1,1,0,0,0,0,0,FOLLOWING_ERROR|TRANSPORT_INVALID,FOLLOWING_ERROR|TRANSPORT_INVALID,1,0,1,0
5,P2,FAULTED,FAULTED,0,1,0,1,0,0,1,0,1,0,0,0,0,0,FEEDBACK_NOT_REVALIDATED|REFERENCE_INVALID|WATCHDOG_NOT_CLEAR,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,0,1,0
6,P3,FAULTED,FAULTED,0,1,0,1,0,0,1,0,0,0,0,0,0,0,FEEDBACK_NOT_REVALIDATED|RECORDER_INVALID|REFERENCE_INVALID|WATCHDOG_NOT_CLEAR,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,0,0,1,0
7,P4,FAULTED,FAULTED,0,1,0,1,0,0,1,0,1,0,0,1,0,0,FEEDBACK_NOT_REVALIDATED|REFERENCE_INVALID|WATCHDOG_NOT_CLEAR,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,0,1,0
8,P5,FAULTED,RECONCILE,0,1,1,1,0,0,1,0,1,1,0,0,0,0,FEEDBACK_NOT_REVALIDATED|REFERENCE_INVALID,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,0,1,0
9,P5,RECONCILE,FAULTED,0,1,1,1,0,0,0,0,1,0,0,0,0,0,FEEDBACK_NOT_REVALIDATED|INTERLOCK_INVALID|REFERENCE_INVALID,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|INTERLOCK_INVALID|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,0,1,1
10,P6,FAULTED,RECONCILE,0,1,1,1,0,0,1,0,1,1,0,0,0,0,FEEDBACK_NOT_REVALIDATED|REFERENCE_INVALID,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|INTERLOCK_INVALID|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,0,1,0
11,P6,RECONCILE,READY,0,1,1,1,1,1,1,0,1,0,1,0,0,0,NONE,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|INTERLOCK_INVALID|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,0,0,0
12,P7,READY,READY,0,1,1,1,1,1,1,0,1,0,0,1,0,0,NONE,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|INTERLOCK_INVALID|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,1,0,0
13,P7,READY,READY,0,1,1,1,1,1,1,0,1,0,0,0,0,0,NONE,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|INTERLOCK_INVALID|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,1,0,0
14,P7,READY,RUNNING,1,1,1,1,1,1,1,0,1,0,0,0,1,1,NONE,FEEDBACK_NOT_REVALIDATED|FOLLOWING_ERROR|INTERLOCK_INVALID|RECORDER_INVALID|REFERENCE_INVALID|TRANSPORT_INVALID|WATCHDOG_NOT_CLEAR,1,1,0,0
15,P8,FAULTED,RECONCILE,0,1,1,1,0,1,1,0,1,1,0,0,0,0,FEEDBACK_NOT_REVALIDATED,FEEDBACK_NOT_REVALIDATED,1,0,1,0
16,P8,RECONCILE,RECONCILE,0,1,1,1,0,1,1,0,1,0,1,1,0,0,FEEDBACK_NOT_REVALIDATED,FEEDBACK_NOT_REVALIDATED,1,0,1,0
17,P9,READY,READY,0,1,1,1,1,1,1,0,1,0,0,1,0,0,NONE,NONE,1,1,0,0
18,P9,READY,RUNNING,1,1,1,1,1,1,1,0,1,0,0,0,1,1,NONE,NONE,1,1,0,0
19,P9,RUNNING,RUNNING,0,1,1,1,1,1,1,0,0,0,0,0,1,1,RECORDER_INVALID,RECORDER_INVALID,0,1,0,0
