seq,phase,new,target,reference_valid,ordinary_authority,drive_valid,feedback_valid,controller_fault_clear,completion_ready,reconcile,active_episode,episode_valid,reconcile_required,completed_episode,at_position
1,P0,1,10,1,1,1,1,1,0,0,1,1,0,0,0
2,P0,0,10,1,1,1,1,1,0,0,1,1,0,0,0
3,P0,0,10,1,1,1,1,1,1,0,1,1,0,1,1
4,P1,1,10,1,1,1,1,1,0,0,2,1,0,0,0
5,P1,0,10,1,1,1,1,1,0,0,2,1,0,0,0
6,P1,0,10,1,1,1,1,1,1,0,2,1,0,2,1
7,P2,0,10,0,1,1,1,1,1,0,2,0,1,0,0
8,P2,0,10,1,1,1,1,1,1,0,2,0,1,0,0
9,P3,0,10,1,1,1,1,1,0,1,2,0,0,0,0
10,P3,1,12,1,1,1,1,1,0,0,3,1,0,0,0
11,P3,0,12,1,1,1,1,1,1,0,3,1,0,3,1
12,P4,0,12,1,1,0,1,1,1,0,3,0,1,0,0
13,P4,0,12,1,1,1,1,1,1,0,3,0,1,0,0
14,P5,0,12,1,1,1,1,1,0,1,3,0,0,0,0
15,P5,1,14,1,1,1,1,1,0,0,4,1,0,0,0
16,P5,0,14,1,1,1,1,1,1,0,4,1,0,4,1
17,P5,0,14,1,1,1,0,1,1,0,4,0,1,0,0
18,P5,0,14,1,1,1,1,1,1,0,4,0,1,0,0
19,P6,0,14,1,1,1,1,1,0,1,4,0,0,0,0
20,P6,1,16,1,1,1,1,1,0,0,5,1,0,0,0
21,P6,0,16,1,1,1,1,1,1,0,5,1,0,5,1
22,P6,0,16,1,1,1,1,0,1,0,5,0,1,0,0
23,P6,0,16,1,1,1,1,1,1,0,5,0,1,0,0
24,P7,0,16,1,1,1,1,1,0,1,5,0,0,0,0
25,P7,1,18,1,1,1,1,1,0,0,6,1,0,0,0
26,P7,0,18,1,1,1,1,1,1,0,6,1,0,6,1
27,P7,0,18,1,0,1,1,1,1,0,6,0,1,0,0
28,P7,0,18,1,1,1,1,1,1,0,6,0,1,0,0
