seq,phase,prev_state,state,state_elapsed,cycle_enable,ordinary_authorized,coordination_ok,feedback_valid,io_valid,completion_witness,intermediate_following_witness,reset_request,requested_mode,final_authorized_mode,fault_latched,fault_reason,completion_seen,last_good_state
1,P0,IDLE,PROCESS_A,0.000,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
2,P0,PROCESS_A,PROCESS_B,0.000,1,1,1,1,1,1,1,0,2,2,0,NONE,1,PROCESS_A
3,P0,PROCESS_B,HOLD,0.000,1,1,1,1,1,1,1,0,3,3,0,NONE,1,PROCESS_B
4,P0,HOLD,PROCESS_C,0.000,1,1,1,1,1,1,1,0,4,4,0,NONE,1,HOLD
5,P0,PROCESS_C,RETURN,0.000,1,1,1,1,1,1,1,0,5,5,0,NONE,1,PROCESS_C
6,P0,RETURN,IDLE,0.000,1,1,1,1,1,1,1,0,0,0,0,NONE,1,RETURN
7,P1,IDLE,PROCESS_A,0.000,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
8,P1,PROCESS_A,PROCESS_B,0.000,1,1,1,1,1,1,1,0,2,2,0,NONE,1,PROCESS_A
9,P1,PROCESS_B,HOLD,0.000,1,1,1,1,1,1,1,0,3,3,0,NONE,1,PROCESS_B
10,P1,HOLD,PROCESS_C,0.000,1,1,1,1,1,1,1,0,4,4,0,NONE,1,HOLD
11,P1,PROCESS_C,FAULT,0.010,1,0,1,1,1,0,1,0,0,0,1,AUTHORIZATION_LOST,0,PROCESS_C
12,P2,IDLE,PROCESS_A,0.000,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
13,P2,PROCESS_A,PROCESS_A,0.010,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
14,P2,PROCESS_A,PROCESS_A,0.020,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
15,P2,PROCESS_A,PROCESS_A,0.030,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
16,P2,PROCESS_A,PROCESS_A,0.040,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
17,P2,PROCESS_A,FAULT,0.050,1,1,1,1,1,0,1,0,0,0,1,PROCESS_TIMEOUT,0,PROCESS_A
18,P3,IDLE,PROCESS_A,0.000,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
19,P3,PROCESS_A,FAULT,0.010,1,1,1,1,1,0,0,0,0,0,1,INTERMEDIATE_NOT_FOLLOWING,0,PROCESS_A
20,P4,IDLE,PROCESS_A,0.000,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
21,P4,PROCESS_A,PROCESS_B,0.000,1,1,1,1,1,1,1,0,2,2,0,NONE,1,PROCESS_A
22,P4,PROCESS_B,FAULT,0.010,1,1,0,1,1,0,1,0,0,0,1,COORDINATION_INVALID,0,PROCESS_B
23,P5,IDLE,PROCESS_A,0.000,1,1,1,1,1,0,1,0,1,1,0,NONE,0,IDLE
24,P5,PROCESS_A,PROCESS_B,0.000,1,1,1,1,1,1,1,0,2,2,0,NONE,1,PROCESS_A
25,P5,PROCESS_B,HOLD,0.000,1,1,1,1,1,1,1,0,3,3,0,NONE,1,PROCESS_B
26,P5,HOLD,PROCESS_C,0.000,1,1,1,1,1,1,1,0,4,4,0,NONE,1,HOLD
27,P5,PROCESS_C,RETURN,0.000,1,1,1,1,1,1,1,0,5,5,0,NONE,1,PROCESS_C
28,P5,RETURN,FAULT,0.010,1,1,1,1,0,0,1,0,0,0,1,IO_INVALID,0,RETURN
29,P6-P1,FAULT,RECONCILE,0.000,1,1,1,1,1,0,1,1,0,0,1,AUTHORIZATION_LOST,0,PROCESS_C
30,P6-P1,RECONCILE,IDLE,0.000,0,1,1,1,1,0,1,0,0,0,0,NONE,0,PROCESS_C
31,P6-P2,FAULT,RECONCILE,0.000,1,1,1,1,1,0,1,1,0,0,1,PROCESS_TIMEOUT,0,PROCESS_A
32,P6-P2,RECONCILE,IDLE,0.000,0,1,1,1,1,0,1,0,0,0,0,NONE,0,PROCESS_A
33,P6-P3,FAULT,RECONCILE,0.000,1,1,1,1,1,0,1,1,0,0,1,INTERMEDIATE_NOT_FOLLOWING,0,PROCESS_A
34,P6-P3,RECONCILE,IDLE,0.000,0,1,1,1,1,0,1,0,0,0,0,NONE,0,PROCESS_A
35,P6-P4,FAULT,RECONCILE,0.000,1,1,1,1,1,0,1,1,0,0,1,COORDINATION_INVALID,0,PROCESS_B
36,P6-P4,RECONCILE,IDLE,0.000,0,1,1,1,1,0,1,0,0,0,0,NONE,0,PROCESS_B
37,P6-P5,FAULT,RECONCILE,0.000,1,1,1,1,1,0,1,1,0,0,1,IO_INVALID,0,RETURN
38,P6-P5,RECONCILE,IDLE,0.000,0,1,1,1,1,0,1,0,0,0,0,NONE,0,RETURN
