== fixture-after-attach ==
UTC 2026-09-09T04:22:13Z
-- comps --
Loaded HAL Components:
ID      Type  Name                                                    PID   State
    22  User  halcmd17439                                             17439 ready
    18  RT    sampler                                                       ready
    17  User  halcmd17428                                             17428 ready
    15  RT    __diag-thread                                                 ready
    14  RT    threads                                                       ready
    11  RT    hm2_test                                                      ready
     8  RT    hostmot2                                                      ready

-- sampler --
Component Pins:
Owner   Type  Dir                 Value  Name
    18  s32   OUT                    16  sampler.0.curr-depth
    18  bit   IN                   TRUE  sampler.0.enable
    18  bit   OUT                 FALSE  sampler.0.full
    18  s32   I/O                     0  sampler.0.overruns
    18  u32   IN             0x00000000  sampler.0.pin.0
    18  u32   IN             0x00000000  sampler.0.pin.1
    18  bit   IN                  FALSE  sampler.0.pin.2
    18  bit   IN                  FALSE  sampler.0.pin.3
    18  bit   IN                  FALSE  sampler.0.pin.4
    18  u32   IN             0x00000000  sampler.0.pin.5
    18  u32   IN             0x00000000  sampler.0.pin.6
    18  u32   IN             0x00000000  sampler.0.pin.7
    18  u32   IN             0x00000000  sampler.0.pin.8
    18  bit   IN                  FALSE  sampler.0.pin.9
    18  s32   I/O                     0  sampler.0.sample-num
    18  s32   OUT                   220  sampler.0.time

-- hm2/watchdog --
Component Pins:
Owner   Type  Dir                 Value  Name
    11  u32   OUT            0x00000000  hm2_test.0.c06.consecutive-failures
    11  u32   I/O            0x00000000  hm2_test.0.c06.fail-reads-remaining
    11  bit   OUT                 FALSE  hm2_test.0.c06.io-error-mirror
    11  u32   OUT            0x00000000  hm2_test.0.c06.read-fail-count
    11  u32   OUT            0x00000079  hm2_test.0.c06.read-success-count
    11  bit   IN                  FALSE  hm2_test.0.c06.watchdog-status-command
    11  bit   OUT                 FALSE  hm2_test.0.c06.watchdog-status-mirror
    11  u32   OUT            0x0000004D  hm2_test.0.c06.write-success-count
    11  bit   OUT                 FALSE  hm2_test.0.gpio.000.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.000.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.000.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.001.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.001.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.001.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.002.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.002.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.002.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.003.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.003.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.003.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.004.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.004.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.004.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.005.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.005.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.005.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.006.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.006.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.006.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.007.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.007.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.007.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.008.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.008.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.008.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.009.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.009.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.009.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.010.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.010.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.010.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.011.in
    11  bit   OUT                  TRUE  hm2_test.0.gpio.011.in_not
    11  bit   IN                  FALSE  hm2_test.0.gpio.011.out
    11  bit   OUT                 FALSE  hm2_test.0.gpio.012.in
