monotonic_ns,phase,taskbeat,motion_heartbeat,motion_type,interp_state,exec_state,x_cmd
228334219284,P0-ready,171,523,0,1,2,0.0
228334231527,P1-fast-idle,171,523,0,1,2,0.0
228334414919,P1-fast-idle,171,523,0,1,2,0.0
228334587110,P1-fast-idle,171,523,0,1,2,0.0
228334755153,P1-fast-idle,172,524,0,1,2,0.0
228334922506,P1-fast-idle,172,524,0,1,2,0.0
228335143128,P1-fast-idle,172,524,0,1,2,0.0
228335310520,P1-fast-idle,172,524,0,1,2,0.0
228335476590,P1-fast-idle,172,524,0,1,2,0.0
228335642339,P1-fast-idle,172,524,0,1,2,0.0
228335808619,P1-fast-idle,173,525,0,1,2,0.0
228335974569,P1-fast-idle,173,525,0,1,2,0.0
228336192385,P1-fast-idle,173,525,0,1,2,0.0
228336358355,P1-fast-idle,173,525,0,1,2,0.0
228336523824,P1-fast-idle,173,525,0,1,2,0.0
228336694722,P1-fast-idle,173,525,0,1,2,0.0
228336861022,P1-fast-idle,174,526,0,1,2,0.0
228337019418,P1-fast-idle,174,526,0,1,2,0.0
228337185167,P1-fast-idle,174,526,0,1,2,0.0
228337350806,P1-fast-idle,174,526,0,1,2,0.0
228337516015,P1-fast-idle,174,526,0,1,2,0.0
228337681844,P1-fast-idle,174,526,0,1,2,0.0
228337850509,P1-fast-idle,174,526,0,1,2,0.0
228338018983,P1-fast-idle,175,527,0,1,2,0.0
228338184662,P1-fast-idle,175,527,0,1,2,0.0
228338350311,P1-fast-idle,175,527,0,1,2,0.0
228338516211,P1-fast-idle,175,527,0,1,2,0.0
228338682130,P1-fast-idle,175,527,0,1,2,0.0
228338847679,P1-fast-idle,175,527,0,1,2,0.0
228339032774,P1-fast-idle,176,528,0,1,2,0.0
228339200317,P1-fast-idle,176,528,0,1,2,0.0
228339366066,P1-fast-idle,176,528,0,1,2,0.0
228339531385,P1-fast-idle,176,528,0,1,2,0.0
228339696953,P1-fast-idle,176,528,0,1,2,0.0
228339862142,P1-fast-idle,176,528,0,1,2,0.0
228340030636,P1-fast-idle,177,529,0,1,2,0.0
228340200473,P1-fast-idle,177,529,0,1,2,0.0
228340365901,P1-fast-idle,177,529,0,1,2,0.0
228340531390,P1-fast-idle,177,529,0,1,2,0.0
228340701378,P1-fast-idle,177,529,0,1,2,0.0
228340867076,P1-fast-idle,177,529,0,1,2,0.0
228341100202,P1-fast-idle,178,530,0,1,2,0.0
228341275909,P1-fast-idle,178,530,0,1,2,0.0
228341445887,P1-fast-idle,178,530,0,1,2,0.0
228341615403,P1-fast-idle,178,530,0,1,2,0.0
228341784258,P1-fast-idle,178,530,0,1,2,0.0
228341952742,P1-fast-idle,178,530,0,1,2,0.0
228342102875,P1-fast-idle,178,530,0,1,2,0.0
228342277861,P1-fast-idle,179,531,0,1,2,0.0
228342454689,P1-fast-idle,179,531,0,1,2,0.0
228342627300,P1-fast-idle,179,531,0,1,2,0.0
228342798400,P1-fast-idle,179,531,0,1,2,0.0
228342969108,P1-fast-idle,179,531,0,1,2,0.0
228343141470,P1-fast-idle,179,531,0,1,2,0.0
228343307770,P1-fast-idle,180,532,0,1,2,0.0
228343476705,P1-fast-idle,180,532,0,1,2,0.0
228343645200,P1-fast-idle,180,532,0,1,2,0.0
228343813794,P1-fast-idle,180,532,0,1,2,0.0
228343982940,P1-fast-idle,180,532,0,1,2,0.0
228344152466,P1-fast-idle,180,532,0,1,2,0.0
228344321642,P1-fast-idle,181,533,0,1,2,0.0
228344493983,P1-fast-idle,181,533,0,1,2,0.0
228344662578,P1-fast-idle,181,533,0,1,2,0.0
228344830682,P1-fast-idle,181,533,0,1,2,0.0
228344999567,P1-fast-idle,181,533,0,1,2,0.0
228345169504,P1-fast-idle,181,533,0,1,2,0.0
228345353116,P1-fast-idle,182,534,0,1,2,0.0
228345522512,P1-fast-idle,182,534,0,1,2,0.0
228345691648,P1-fast-idle,182,534,0,1,2,0.0
228345859862,P1-fast-idle,182,534,0,1,2,0.0
228346028917,P1-fast-idle,182,534,0,1,2,0.0
228346197452,P1-fast-idle,182,534,0,1,2,0.0
228346365726,P1-fast-idle,182,534,0,1,2,0.0
