seq,case,event,state_before,state_after,owner,homed,machine_authorized,feedback_valid,drive_ok,stall_suspect,typed_request,displayed_target,target_in_range,target_accepted,active_target,min_target,max_target,planner_output,feedback_position,planner_at_target,within_target_tolerance,posthome_command_effective,planner_motion_active,typed_move_complete,fault_reason,reconcile_required,stale_target_replayed,load_bypass_requested,load_bypass_used
1,P0,prehome-request-rejected,UNREFERENCED,UNREFERENCED,NONE,False,True,True,True,False,True,60.0,True,False,,0.0,100.0,0.0,0.0,False,False,False,False,False,,False,False,False,False
2,P0,home-complete-no-replay,UNREFERENCED,IDLE_REFERENCED,NONE,True,True,True,True,False,False,60.0,True,False,,0.0,100.0,0.0,0.0,False,False,False,False,False,,False,False,False,False
1,P1,accept-valid-target,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,60.0,True,True,60.0,0.0,100.0,0,0,False,False,True,True,False,,False,False,False,False
2,P1,approach-1,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,60.0,True,False,60.0,0.0,100.0,20.0,10.0,False,False,True,True,False,,False,False,False,False
3,P1,approach-2,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,60.0,True,False,60.0,0.0,100.0,40.0,30.0,False,False,True,True,False,,False,False,False,False
4,P1,planner-target-feedback-short,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,60.0,True,False,60.0,0.0,100.0,60.0,50.0,True,False,True,False,False,,False,False,False,False
5,P1,feedback-converged-complete,TYPED_MOVE,IDLE_REFERENCED,NONE,True,True,True,True,False,False,60.0,True,False,,0.0,100.0,60.0,60.0,True,True,True,False,True,,False,False,False,False
1,P2,below-range-rejected,IDLE_REFERENCED,IDLE_REFERENCED,NONE,True,True,True,True,False,True,-1.0,False,False,,0.0,100.0,20,20,False,False,False,False,False,,False,False,False,False
2,P2,above-range-rejected,IDLE_REFERENCED,IDLE_REFERENCED,NONE,True,True,True,True,False,True,101.0,False,False,,0.0,100.0,20,20,False,False,False,False,False,,False,False,False,False
3,P2,idle-after-invalid-no-replay,IDLE_REFERENCED,IDLE_REFERENCED,NONE,True,True,True,True,False,False,101.0,False,False,,0.0,100.0,20,20,False,False,False,False,False,,False,False,False,False
4,P2,new-valid-request,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,40.0,True,True,40.0,0.0,100.0,20,20,False,False,True,True,False,,False,False,False,False
1,P3,accept-target,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,80.0,True,True,80.0,0.0,100.0,0,0,False,False,True,True,False,,False,False,False,False
2,P3,approach,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,80.0,True,False,80.0,0.0,100.0,20.0,10.0,False,False,True,True,False,,False,False,False,False
3,P3,authorization-lost,TYPED_MOVE,FAULTED,NONE,True,False,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,False,False,False,AUTHORIZATION_LOST,True,False,False,False
4,P3,authorization-restored-no-replay,FAULTED,FAULTED,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,False,False,False,AUTHORIZATION_LOST,True,False,False,False
5,P3,enter-reconcile,FAULTED,RECONCILE,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,False,False,False,AUTHORIZATION_LOST,True,False,False,False
6,P3,finish-reconcile-idle,RECONCILE,IDLE_REFERENCED,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,False,False,False,,False,False,False,False
