seq,case,event,state_before,state_after,owner,fault_reason,motion_request_active,reference_valid,machine_authorized,feedback_valid,drive_ok,jog_stop_request,stall_suspect,auto_resume_attempted
1,P0,typed-denied-unreferenced,UNREFERENCED,UNREFERENCED,NONE,,False,False,True,True,True,False,False,False
2,P0,home-start,UNREFERENCED,HOMING,HOMING,,True,False,True,True,True,False,False,False
3,P0,home-complete,HOMING,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
4,P1,jog-pos-start,IDLE_REFERENCED,JOG_CONT_POS,JOG_CONT_POS,,True,True,True,True,True,False,False,False
5,P1,jog-pos-persists-no-refresh,JOG_CONT_POS,JOG_CONT_POS,JOG_CONT_POS,,True,True,True,True,True,False,False,False
6,P1,jog-pos-release,JOG_CONT_POS,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
7,P2,jog-neg-start,IDLE_REFERENCED,JOG_CONT_NEG,JOG_CONT_NEG,,True,True,True,True,True,False,False,False
8,P2,auth-loss-held,JOG_CONT_NEG,FAULTED,NONE,AUTHORIZATION_LOST,False,True,False,True,True,False,False,False
9,P2,auth-restored-held-no-resume,FAULTED,FAULTED,NONE,AUTHORIZATION_LOST,False,True,True,True,True,False,False,False
10,P2,enter-reconcile-held,FAULTED,RECONCILE,NONE,AUTHORIZATION_LOST,False,True,True,True,True,False,False,False
11,P2,complete-reconcile-held,RECONCILE,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
12,P2,new-jog-after-reconcile,IDLE_REFERENCED,JOG_CONT_NEG,JOG_CONT_NEG,,True,True,True,True,True,False,False,False
13,P2,release-new-jog,JOG_CONT_NEG,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
14,P3,jog-pos-start,IDLE_REFERENCED,JOG_CONT_POS,JOG_CONT_POS,,True,True,True,True,True,False,False,False
15,P3,independent-jog-stop,JOG_CONT_POS,IDLE_REFERENCED,NONE,,False,True,True,True,True,True,False,False
16,P4a,jog-start,IDLE_REFERENCED,JOG_CONT_POS,JOG_CONT_POS,,True,True,True,True,True,False,False,False
17,P4a,feedback-fault,JOG_CONT_POS,FAULTED,NONE,FEEDBACK_INVALID,False,True,True,False,True,False,False,False
18,P4a,fault-to-reconcile,FAULTED,RECONCILE,NONE,FEEDBACK_INVALID,False,True,True,True,True,False,False,False
19,P4a,reconcile-done,RECONCILE,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
20,P4b,jog-start,IDLE_REFERENCED,JOG_CONT_POS,JOG_CONT_POS,,True,True,True,True,True,False,False,False
21,P4b,drive-fault,JOG_CONT_POS,FAULTED,NONE,DRIVE_FAULT,False,True,True,True,False,False,False,False
22,P4b,fault-to-reconcile,FAULTED,RECONCILE,NONE,DRIVE_FAULT,False,True,True,True,True,False,False,False
23,P4b,reconcile-done,RECONCILE,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
24,P4c,jog-start,IDLE_REFERENCED,JOG_CONT_POS,JOG_CONT_POS,,True,True,True,True,True,False,False,False
25,P4c,stall-fault,JOG_CONT_POS,FAULTED,NONE,STALL_SUSPECT,False,True,True,True,True,False,True,False
26,P4c,fault-to-reconcile,FAULTED,RECONCILE,NONE,STALL_SUSPECT,False,True,True,True,True,False,False,False
27,P4c,reconcile-done,RECONCILE,IDLE_REFERENCED,NONE,,False,True,True,True,True,False,False,False
28,P5,typed-start,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,,True,True,True,True,True,False,False,False
29,P5,typed-auth-loss,TYPED_MOVE,FAULTED,NONE,AUTHORIZATION_LOST,False,True,False,True,True,False,False,False
30,P5,auth-return-no-old-request,FAULTED,FAULTED,NONE,AUTHORIZATION_LOST,False,True,True,True,True,False,False,False
31,P5,to-reconcile,FAULTED,RECONCILE,NONE,AUTHORIZATION_LOST,False,True,True,True,True,False,False,False
